id,part,n,partTitle,question,현재자수,목표자수,추가필요,처리,문단수,keywords,photo,인쇄가능
79,4,26,혼주 헤어스타일,항암 도중이나 마친 후에 혼주헤어를 하려면?,906,1000,94,상향,5,사전 컨설팅|올림머리|업스타일|한복,hair-21,N
80,4,27,혼주 헤어스타일,결혼식 도중 머리가 풀릴 경우 대처법,568,1000,432,상향,4,올림머리,salon-15,N
81,4,28,혼주 헤어스타일,결혼식 마친 후 헤어 정리하는 법은?,287,1000,713,상향,2,가발,hair-12,N
82,5,1,"혼주 의상, 퍼스널 컬러 및 액세서리",혼주에게도 퍼스널 컬러 진단이 필요한가요?,467,1000,533,상향,3,사전 컨설팅|퍼스널 컬러|예식 당일|한복 색상,hanbok-05,Y
83,5,2,"혼주 의상, 퍼스널 컬러 및 액세서리",양가 혼주 한복 색을 맞춰야 하나요?,307,1000,693,상향,3,한복|사진|립,hanbok-10,N
84,5,3,"혼주 의상, 퍼스널 컬러 및 액세서리",한복은 언제 결정하나요?,404,1000,596,상향,5,공장식|비용|한복,hanbok-09,N
87,5,4,"혼주 의상, 퍼스널 컬러 및 액세서리",신랑 측 혼주(푸른색 계열)가 더 젊어 보이는 배색의 비밀,1037,1037,0,원문유지,8,퍼스널 컬러|동안,portrait-07,Y
88,5,5,"혼주 의상, 퍼스널 컬러 및 액세서리",신부 측 혼주(분홍색 계열)가 더 우아해 보이는 색상 선택,573,1000,427,상향,6,한복|피부,portrait-06,Y
89,5,6,"혼주 의상, 퍼스널 컬러 및 액세서리",아이보리/화이트 저고리가 안 어울리는 피부 톤은?,376,1000,624,상향,3,한복|피부|주름,portrait-05,Y
90,5,7,"혼주 의상, 퍼스널 컬러 및 액세서리",저고리 색상이 치마보다 얼굴빛에 더 중요한 이유,341,1000,659,상향,3,퍼스널 컬러|피부|잡티|주름,portrait-02,Y
91,5,8,"혼주 의상, 퍼스널 컬러 및 액세서리",무광 소재와 유광 소재 중 어느 쪽을 선택할까요?,431,1000,569,상향,3,퍼스널 컬러|한복|피부|잡티,hanbok-14,N
92,5,9,"혼주 의상, 퍼스널 컬러 및 액세서리",한복에 어울리는 안경테 선택법,475,1000,525,상향,3,예식 당일|속눈썹|한복|피부,portrait-18,Y
93,5,10,"혼주 의상, 퍼스널 컬러 및 액세서리",한복 대신 드레스나 정장을 입어도 될까요?,255,1000,745,상향,3,드레스|한복|정장,hair-31,N
94,5,11,"혼주 의상, 퍼스널 컬러 및 액세서리","귀걸이와 목걸이, 한복에 어울리는 액세서리는?",347,1000,653,상향,4,액세서리|귀걸이|드레스|한복,accessory-02,N
95,5,12,"혼주 의상, 퍼스널 컬러 및 액세서리",남자 혼주 넥타이 색,410,1000,590,상향,4,퍼스널 컬러,accessory-03,Y
96,6,1,드디어 결혼식 당일,예식 당일 샵에 갈 때 입는 옷은?,324,1000,676,상향,3,예식 당일|올림머리|한복|볼륨,salon-07,N
97,6,2,드디어 결혼식 당일,한복과 양복은(남혼주) 언제 갈아입어요?,629,1000,371,상향,6,한복|주름,hanbok-13,N
99,6,3,드디어 결혼식 당일,하객 맞이 로비에서 품위 있게 인사하는 자세,461,1000,539,상향,3,한복|표정,hanbok-15,N
100,6,4,드디어 결혼식 당일,왜 혼주가 웃어야 해요?,391,1000,609,상향,3,주름|사진|긴장|표정,portrait-11,Y
101,6,5,드디어 결혼식 당일,사진 촬영 시 예쁘게 나오는 표정 연습은?,398,1000,602,상향,4,사진|표정,portrait-21,Y
102,6,6,드디어 결혼식 당일,예식 중 눈물이 날 때 손수건 사용법,317,1000,683,상향,3,,hanbok-01,Y
103,6,7,드디어 결혼식 당일,가슴이 뛰고 긴장되는데 청심환이 도움이 될까요?,676,1000,324,상향,4,긴장|립,hanbok-04,Y
104,6,8,드디어 결혼식 당일,오늘은 커피와 음료를 주의할 것,490,1000,510,상향,4,예식 당일|드레스|한복|긴장,hanbok-03,Y
105,6,9,드디어 결혼식 당일,예식 종료 후 메이크업과 헤어 클렌징 꿀팁,563,1000,437,상향,4,클렌징|한복|피부,hair-06,Y
epilogue,7,0,에필로그,에필로그 — 맺음말,597,1000,403,상향,8,,portrait-04,Y
